Year,Month,Day,Title,Summary,Story,Categories,Tags,Rebbe,Sources
1830,,,Hebron Ashkenazi and Sephardic communities sign formal agreement,"The two communities of Hebron sign a formal agreement, with R' Leib Chitrik among the Ashkenazi signatories.","In 1830 the Sephardic and Ashkenazi communities of Hebron concluded a formal accord governing communal matters. R' Leib Chitrik, a senior trustee of Kolel Chabad, was one of the Ashkenazi signatories. The agreement was one of several inter-community arrangements that shaped Hebron's Jewish life in the 19th century.",organization,"hebron, ashkenazi, sephardi, kolel chabad",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1830,,,Hebron Chabad-Sephardic agreement signed,In 5590 an agreement was signed between the Chabad community and the Sephardic community in Hebron.,"Among the Chabad signatories were R' Moshe Meizlish, joined by R' Shmuel Segal, R' Yehuda Leib Sener, and others — without R' Tzvi Hirsh Lifshitz or R' Ephraim Yaffe of the original 5587 trio. The agreement allocated a quarter of all Chabad collections in Sephardic regions to the Hebron Sephardic community.","organization, location","hebron, sephardim, agreement, kollel chabad",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1830,,,R' Yosef Halevi appointed assistant gabbai in Hebron,R' Yosef Halevi was appointed as assistant and successor to his father R' Chaim Halevi as Hebron's gabbai.,"In 5590 (1830), after R' Chaim Yaakov Halevi ibn Yakar's 42 years of service as gabbai and pakid of the Hebron community, his son R' Yosef Halevi was appointed as his deputy and successor. The appointment was described as 'a sign of trust and honor' to the elder Halevi. R' Chaim Halevi was the first signatory on the 5590 inter-community agreement.",organization,"yosef halevi, chaim halevi, hebron, sephardic kollel",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1830,,,R' Yosef Yehuda Leib m'Shyuf and R' Ephraim Yitzchak Epstein make aliyah from Shklov,R' Yosef Yehuda Leib m'Shyuf and his father-in-law R' Ephraim Yitzchak Epstein made aliyah from Shklov to settle in Chevron in 5590.,"In 5590, R' Ephraim Yitzchak Epstein traveled from Shklov to Chevron with his wife, son Zalman, daughter, son-in-law R' Yosef Yehuda Leib m'Shyuf, and their four-year-old son Yaakov Zevulun. Hearing of their journey, the Tzemach Tzedek entrusted them to deliver the Russian Chabad support funds to the Chevron community. They arrived in Kislev 5591 after road troubles delayed them past Rosh Hashanah.","location, organization","yosef yehuda leib, ephraim yitzchak epstein, shklov, chevron, aliyah",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1830,,,Second Chabad–Sephardic Hebron agreement lowers payment,"A revised agreement in 5590 reduces Chabad's annual contribution to the Sephardic kollel from 1,000 to 900 grush.","Chabad argued that since they also paid Sheikh Abdul Rahman one riyal every Rosh Chodesh and additional gifts at weddings and at the arrival of emissaries, those sums should count toward shared protection payments. The 5590 agreement reduced their annual obligation to 900 grush, paid each year upon the ship's arrival to the head pakid R' Chaim HaLevi. The agreement explicitly named Sheikh Abdul Rahman as 'sar ha'ir' (ruler of the city).","organization, conflict","hebron, chabad, sephardim, kollel, abdul rahman, chaim halevi",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1830,,,"Tzemach Tzedek travels to Rogachev, Zhuravichi and Dribin","In the winter of 5590 (1829–1830) the Tzemach Tzedek traveled to the towns of Rogachev, Zhuravichi and Dribin to deliver Chassidic discourses.","Although the Tzemach Tzedek generally remained in Lyubavichi writing Chassidus, he periodically traveled to outlying towns to deliver maamarim publicly and to receive Chassidim in yechidus. This particular winter tour is reconstructed from headings on his maamarim, which routinely recorded the date and place of delivery. The journey is among the earliest documented in the registry of his discourses.",rebbe,"tzemach tzedek, russia, travel, rogachev, zhuravichi, dribin",,Chabad Library/תולדות_חב״ד_ברוסיה
1830,8,,Second Chabad-Sephardic agreement in Hebron,The second formal agreement between Hebron's Chabad and Sephardic communities was concluded in Elul 1830.,"In Elul 1830 (אלול תק""צ), the Chabad and Sephardic communities of Hebron concluded their second formal agreement. It specifically covered shadar missions to Germany, Italy, Spain, and neighboring countries, building on the earlier 1825 understanding.",organization,"hebron, sephardim, chabad kollel, agreement, italy, germany, spain",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1830,12,,Russian Chabad support funds arrive in Chevron,"The Russian Chabad support funds for 5590 reached Chevron in Kislev 5591, carried by R' Ephraim Yitzchak Epstein and R' Yosef Yehuda Leib m'Shyuf.","Originally expected by Rosh Hashanah 5591, the emissaries were delayed and arrived in Chevron only in Kislev 5591. A 14 Kislev 5591 letter from the Chevron Chabad community thanked the Tzemach Tzedek for arranging the early dispatch despite the late delivery. The same letter records that 'the road went wrong and an hour of emergency caused them to be delayed.'",organization,"chevron, kolel chabad, tzemach tzedek, support funds",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1831,,,Alter Rebbe's Shulchan Aruch reissued in Sudilkov,Another full edition of the Alter Rebbe's Shulchan Aruch appeared in Sudilkov in 1831.,"By the early 1830s the Alter Rebbe's Shulchan Aruch was well-established across White Russia and Poland, prompting repeated reprints such as this 5591 (1831) Sudilkov edition.",publication,"alter rebbe, sudilkov, shulchan aruch",,Chabad Library/תערוכות_הספריה
1831,,,Hebron Chabad letter to the Tzemach Tzedek,"In 5591 Hebron's Chabad leaders wrote to the Tzemach Tzedek acknowledging support funds, with R' Shimon Menashe Chaikin signing last as the youngest at 29.","The letter from Hebron Chabad leaders confirmed receipt of support funds sent by the third Lubavitcher Rebbe. R' Shimon Menashe Chaikin, who would later become Hebron's Chabad rav, signed last as the youngest of the signers and identified himself as 'son of R' Moshe shochet,' showing his trade was shechita while he was also active in community affairs.","rebbe, organization","hebron, lubavitch, tzemach tzedek, shimon menashe chaikin",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1831,,,Letter to Tzemach Tzedek signed by R' Shimon Shmerling,In 5591 R' Shimon Shmerling was a signatory on a letter from the Chabad community in Hebron to the Tzemach Tzedek.,"R' Shimon Shmerling, one of the founders of the Chabad community in Hebron, signed the 5591 letter from Hebron to the Tzemach Tzedek. This was part of regular correspondence between the Hebron community and the Lubavitcher leadership in Russia, reporting on the situation and requesting continued support.",organization,"shimon shmerling, tzemach tzedek, hebron, kollel chabad",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1831,,,Muhammad Ali sends Ibrahim Pasha to conquer Eretz Yisrael and Syria,In 5591 the Egyptian ruler Muhammad Ali sent his son Ibrahim Pasha to conquer Eretz Yisrael and Syria.,"In 5591 Muhammad Ali of Egypt dispatched his son Ibrahim Pasha to conquer Eretz Yisrael and Syria. Ibrahim Pasha conducted a successful military campaign and became the general governor of the conquered territory from 5593 until 5600, profoundly affecting the Jewish communities under his rule.","conflict, general","muhammad ali, ibrahim pasha, egypt, conquest, eretz yisrael, syria",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1831,,,Tzemach Tzedek defends R. Yissachar Ber against removal in Bychov Chadash,"In 5591 townspeople of Bychov Chadash sought to replace R. Yissachar Ber, and the Tzemach Tzedek issued a sharp responsum defending him.","In 5591 (1831) residents of Bychov Chadash attempted to install a new moreh tzedek in place of R. Yissachar Ber after they brought in a relative for the position. The Tzemach Tzedek responded with a stern ruling (Yoreh Deah 343) that custom across Israel held a moreh tzedek's appointment to be permanent and that it was absolutely forbidden to remove a qualified scholar without cause. Despite this, R. Yissachar Ber left for Lubavitch within two years.","conflict, rebbe","yissachar ber horowitz, tzemach tzedek, bychov chadash, rabbinate dispute",,Chabad Library/מבית_הגנזים
1831,,,"Tzemach Tzedek travels to Bobruisk, Paritch and Rogachev","In the winter of 5591 (1830–1831) the Tzemach Tzedek visited the towns of Bobruisk, Paritch and Rogachev.","Reconstructed from the headings of his Chassidic discourses, this winter tour brought the Tzemach Tzedek to important Chassidic centers in White Russia. Such trips combined public maamarim, private yechidus, and the strengthening of local Chassidic communities. The journey is documented in the chronological registry of his maamarim.",rebbe,"tzemach tzedek, russia, travel, bobruisk, paritch, rogachev",,Chabad Library/תולדות_חב״ד_ברוסיה
1831,,,Volume 13 of Tzemach Tzedek responsa bound,"Volume 13, manuscript 1019 — a book of summaries of earlier responsa — was bound around 5591.","Manuscript 1019 (volume 13) is a survivor of the early numbered series. It contains short summaries of responsa written in earlier volumes, citing them as chelek 1, 2, 3, 4, etc. Although undated internally, the responsa it digests can be matched to known dates, placing its compilation around 5590–5591.",publication,"tzemach tzedek, responsa, manuscript 1019, summaries",,Chabad Library/תולדות_חב״ד_ברוסיה
1832,,,Aliyah of R. Yaakov Mordechai Twer and family to Eretz Yisrael,"In 5592 (1832) R. Yaakov Mordechai Twer made aliyah from Mogilev with his sons Shaul, Yisrael and Leib, settling in Hebron's Chabad community.","Aged 38 at the time of aliyah, R. Yaakov Mordechai descended from MaHaRIL, the brother of the Alter Rebbe. His family became the root of the Brimat, Saulson, Singer, and Grossman families in the Holy Land; his eldest son R. Schneur Zalman remained behind in Mogilev and later emigrated separately.","location, general","yaakov mordechai twer, aliyah, hebron, chabad, eretz yisrael, mogilev",,Chabad Library/תולדות_חב״ד_ברוסיה
1832,,,R' Menachem Aryeh arrives in Hebron from Rohatchov,"R' Menachem Aryeh, son of R' Shmuel Halevi, immigrated to the Holy Land from Rohatchov together with his 16-year-old son R' Yisrael Yosef.","According to the 1839 Hebron census, R' Menachem Aryeh (also called Nachum Aryeh Leib) made aliyah from Rohatchov in 5592 (1832) at age 40. He came together with his already-married 16-year-old son R' Yisrael Yosef. He later served as administrator of the Chabad kollel, dayan, and head of yeshiva, signing the 1834 Tzemach Tzedek correspondence and other communal documents.",location,"hebron, chabad, rohatchov, aliyah, kollel",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1832,,,R. Issachar Ber Hurwitz appointed Rav of Lubavitch,"R. Issachar Ber HaLevi Hurwitz served as Rav of Lubavitch from 5592 to 5603 (1832-1843), working closely with the Tzemach Tzedek.","From 5592 to 5603 (1832-1843), R. Issachar Ber HaLevi Hurwitz held the rabbinate of Lubavitch. He maintained close halachic contact with the Tzemach Tzedek, frequently routing inquiries to him and binding the resulting responsa into volumes preserved in the library.","rebbe, organization","lubavitch, issachar ber hurwitz, rabbinate, tzemach tzedek",,Chabad Library/תערוכות_הספריה
1832,,,Rabbi Yissachar Ber Halevi Horowitz appointed Rabbi of Lubavitch,Rabbi Yissachar Ber Halevi Horowitz began serving as Rabbi of the town of Lubavitch in 5592.,Horowitz served as town rabbi during much of the Tzemach Tzedek's leadership era. He was followed in the position by Rabbi Avraham son of Avigdor Hakohen. These local rabbinic appointments operated alongside the Chabad leadership presence in the town's main courtyard.,"organization, location","rabbinic-appointment, horowitz",,Chabad Library/ליובאוויטש
1832,,,Rabbi Yissachar Ber Hurwitz appointed rabbi of Lubavitch,From 5592 Rabbi Yissachar Ber Halevi Hurwitz served as the town rabbi of Lubavitch.,"He held the post throughout most of the Tzemach Tzedek's tenure, and was later succeeded by Rabbi Avraham son of Avigdor HaKohen. The town rabbinate was distinct from the Rebbe's role; the Tzemach Tzedek himself was never the salaried communal rabbi of Lubavitch.",organization,"lubavitch, rabbinate, yissachar ber hurwitz",,Chabad Library/תולדות_חב״ד_ברוסיה
1832,,,Responsum 353 with conditional psak formula,"In responsum §353, written in 5592, the Tzemach Tzedek refuses to rule alone on a serious matter and demands two or three other prominent poskim concur.","The Tzemach Tzedek wrote in §353 (5592) that 'because of the gravity of the matter, I do not want anyone to rely on me alone, but only with the concurrence of two famous poskim or at least one famous moreh hora'ah, and if [the case develops further], then... it appears to me to permit her, if three great poskim concur.' The responsum is a paradigmatic illustration of his halachic humility, the dominant feature of his style.",general,"tzemach tzedek, humility, psak halacha, co-decisors",,Chabad Library/תולדות_חב״ד_ברוסיה
1832,,,"Tzemach Tzedek travels to Ula, Polotsk, Ushatch and Chashniki","In the winter of 5592 (1831–1832) the Tzemach Tzedek made a circuit through Ula, Polotsk, Ushatch and Chashniki.","This northern circuit of the Tzemach Tzedek is recorded in the maamarim he delivered along the way, which were dated and inscribed with their location of delivery. The trip extended his presence into Vitebsk-region towns and helped consolidate Chabad influence in the area. The journey appears in the chronological registry of his discourses.",rebbe,"tzemach tzedek, russia, travel, polotsk, ula, ushatch, chashniki",,Chabad Library/תולדות_חב״ד_ברוסיה
1832,9,,R' Tzvi Hirsh Lehrin notifies Hebron Chabad of Mindel's London oil endowment,"On 18 Elul 5592 the head of the Amsterdam Pekuam wrote to Hebron Chabad about Mrs. Mindel's 25-pound permanent fund for synagogue oil, secured through R' Asher ben Shimshon of London.","R' Tzvi Hirsh Lehrin, who headed the Pekidim and Amarkalim in Amsterdam, informed the Hebron Chabad leadership of a new fund obtained through his London trip that summer. Mrs. Mindel daughter of Yehudah of London consecrated 25 pounds as keren kayemet whose interest would purchase oil for lamps in the community's synagogue and beit midrash. The arrangement was made through R' Asher ben Shimshon, a regular benefactor of Hebron Chabad.",organization,"hebron, london, pekuam, asher ben shimshon, mindel, synagogue, oil, amsterdam",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1832,9,14,Pekuam letter to Hebron Chabad leaders praising unity,The Pekuam committee wrote to Hebron's Chabad leaders expressing satisfaction at the renewed peace with the Sephardic pakid.,"On 18 Elul 5592 (September 14, 1832), the Pekuam Amsterdam committee wrote to the rabbis and administrators of the Chabad kollel in Hebron. They expressed great satisfaction with a recent letter announcing peace and unity between Chabad and the Sephardic pakid R' Chaim Yaakov Halevi ibn Yakar. The letter was published in Bezalel Landau's Kerem HaChasidut.",general,"pekuam, hebron, chabad kollel, sephardic kollel, letter, unity",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1833,,,Aliyah of R' Yisrael ben Mordechai from Shklov to Hebron,R' Yisrael ben Mordechai made aliyah from Shklov to join his father in Hebron.,"In 5593 (1833), R' Yisrael ben Mordechai, age 25 and married with a son and daughter, made aliyah from Shklov to Hebron. His father R' Mordechai had preceded him by two years, arriving in 5581. This R' Yisrael Yaffe of Shklov is the third Hebron-based figure of that name in the period.",location,"yisrael yaffe, shklov, hebron, aliyah",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1833,,,Founding of Chevrat Trumat HaKodesh in USA,"Chevrat Trumat HaKodesh was founded in the United States, on the model of the Amsterdam Pekuam.","In early 5593 (1833), the Chevrat Trumat HaKodesh society was established in the United States, modeled on the Amsterdam Pekuam. Like its European counterpart, it sought to consolidate American Eretz Yisrael fundraising and discourage independent shadarim, withholding allocations from communities that hosted unauthorized envoys. The organization later interacted closely with the Pekuam and the Hebron Chabad kollel.",organization,"chevrat trumat hakodesh, usa, fundraising, pekuam, shadarim",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1833,,,Ibrahim Pasha becomes governor of Eretz Yisrael,From 5593 Ibrahim Pasha served as governor general of Eretz Yisrael and Syria under Egyptian rule.,"Following the successful conquest, from 5593 until 5600 Ibrahim Pasha served as the general governor of the territory conquered by Egypt. His rule brought significant changes to the Jewish communities of Eretz Yisrael, though it would later be marred by the violent suppression of local rebellions including the events of 5594 in Hebron.","general, conflict","ibrahim pasha, egypt, eretz yisrael, governance",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1833,,,R. Yissachar Ber Horowitz appointed moreh tzedek of Lubavitch,"In 5593 R. Yissachar Ber Horowitz took up the rabbinical post in Lubavitch, where he served for ten years.","After leaving Bychov Chadash in 5593 (1833), R. Yissachar Ber Horowitz established his residence in Lubavitch as the town's moreh tzedek. He served there for a decade alongside the Tzemach Tzedek, engaging in extensive halachic correspondence with the Rebbe and serving as a conduit for questions from rabbis throughout the region. Many of these responsa have since been published in Kovetz Yagdil Torah.","organization, location","yissachar ber horowitz, lubavitch, rabbinate",,Chabad Library/מבית_הגנזים
1833,,,Tzemach Tzedek travels to Shklov and Tzarei,In the winter of 5593 (1832–1833) the Tzemach Tzedek visited Shklov and Tzarei.,"Shklov was historically a stronghold of the Misnagdic camp, making the Rebbe's visit there significant for Chabad–Misnagdic relations. The trip is documented through the dated headings of maamarim he delivered in those towns. It forms part of the chronological registry of his discourses reconstructed from manuscript sources.",rebbe,"tzemach tzedek, russia, travel, shklov, tzarei",,Chabad Library/תולדות_חב״ד_ברוסיה
1833,,,Volume 14 of Tzemach Tzedek responsa bound,Volume 14 was bound around 5593 and is lost; later manuscripts repeatedly reference it.,"Volume 14 contained a published responsum (Even HaEzer §48) explicitly written in 5593, and manuscripts 1050 and 1021 cite it repeatedly with notes such as 'copied here with corrections from chelek 14.' The volume itself, along with most of the volumes numbered 1–14, did not reach us — many believed lost in a fire in Lubavitch.",publication,"tzemach tzedek, responsa, lost manuscripts",,Chabad Library/תולדות_חב״ד_ברוסיה
1834,,,Abd al-Rahman rebellion against Egyptian rule,"In early summer 5594 the local ruler Abd al-Rahman of Hebron rebelled against Ibrahim Pasha, prompting an Egyptian military response.","In early summer 5594 Abd al-Rahman, the local ruler of Hebron who had previously collected protection money from both the Sephardic and Chabad communities, rebelled against Ibrahim Pasha. In Tammuz, Ibrahim Pasha brought his army to crush the rebellion - with catastrophic consequences for the Jewish communities of Hebron.",conflict,"abd al-rahman, ibrahim pasha, hebron, rebellion, egypt",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,,,"Birth of Rabbi Shmuel Schneersohn, the Rebbe Maharash","The Rebbe Maharash, fourth Lubavitcher Rebbe, was born in 1834.","The Maharash was known for his sharp intellect and the saying 'lechatchila ariber,' urging chasidim to overcome obstacles from above. He led Chabad during the Industrial Revolution and times of growing Jewish migration.",rebbe,"maharash, shmuel schneersohn",,Undaunted
1834,,,Birth of Rebbe Maharash (Rabbi Shmuel) in Lubavitch,"Rabbi Shmuel Schneersohn, the future fourth Chabad Rebbe known as the Maharash, was born on 2 Iyar 5594 in Lubavitch.","The Maharash is the only Chabad Rebbe to have been born, lived his entire life, and passed away in Lubavitch. He would assume Chabad leadership in 5626 following the passing of his father the Tzemach Tzedek. His birth in the town further entrenched Lubavitch as the dynastic seat of the movement.",rebbe,"maharash, shmuel, schneersohn",,Chabad Library/ליובאוויטש
1834,,,Hebron Chabad community letters and shadarut documents,In 5594 the leaders of the Hebron Chabad community signed letters to the Tzemach Tzedek and shadarut commissions for fundraising abroad.,"During 5594 (1834) R' Shmuel Halevi and his son R' Menachem Aryeh signed multiple official Hebron Chabad documents, including correspondence to the Tzemach Tzedek and credentials for emissaries (shadarim) sent to raise funds abroad. These documents form the earliest preserved record of the community's institutional activity, reflecting the burdens of supporting the Hebron yishuv under Sheikh Abdul Rahman's exactions.",organization,"hebron, chabad, tzemach tzedek, shadarut, fundraising",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,,,Manuscript of Alter Rebbe's discourses copied by Zalman Leib of Liubavitch,"In 5594 (1834), Zalman Leib b. R' Yid of Liubavitch-Riskin copied a major manuscript of the Alter Rebbe's discourses arranged by Torah portion.","The manuscript (Ms. 633) is notable for its careful headings identifying the dates and circumstances when each discourse was delivered, including maamarim from as early as 5554 (1794). It represents a serious early effort to catalog the chronology of Chabad maamarim.",publication,"manuscript, liubavitch, alter rebbe, zalman leib riskin",,Chabad Library/תולדות_חב״ד_ברוסיה
1834,,,R' Natan Amram appointed joint shadar to Italy and Europe,"R' Natan Amram, later rabbi of Alexandria, was appointed as a joint shadar from Hebron's Sephardic and Chabad communities to Italy and Europe.","In Nissan 5594 (1834), R' Natan Amram — later rabbi of Alexandria, Egypt — was designated to travel as a joint shadar from the Sephardic and Chabad communities of Hebron through Italy and surrounding European countries. His departure was delayed by the pogroms and earthquake, and his mission was expanded. The expanded shlichut letter, signed primarily by Chabad leaders, was preserved in Sarid V'Palit.",organization,"natan amram, shadar, italy, europe, hebron, sephardic kollel, chabad kollel",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,,,Senate rejects most of Khovansky's proposed reforms on Jewish status,"In winter 5594, the Senate informs Khovansky that it has rejected most of his proposals regarding the legal status of Russian Jewry, accepting only a few details.","In the winter of 1834 (5594), after years of delay, the Senate responded to Governor Khovansky's policy proposals that had been attached to his 1827 appeal in the Mittler Rebbe's case. The Senate decided to reject most of his suggestions concerning the status and rights of rabbis and Jewish communities, accepting only a few minor points, while informing him that a comprehensive new statute on Jews was already being prepared.","organization, conflict","senate, khovansky, russia, jewish status, legislation",,Chabad Library/מאסר_וגאולת_אדמו״ר_האמצעי
1834,,,Tzemach Tzedek purchases land for his Lubavitch courtyard,Around 5594 the Tzemach Tzedek bought the plot of land in Lubavitch on which he built his home.,"The parcel later became the site of the great Tomchei Temimim study hall. His first house stood at the northwestern corner of the courtyard with the synagogue beside it; both were destroyed in the great fire of 1856-1858, after which a much larger compound was rebuilt.","rebbe, location","tzemach tzedek, lubavitch, courtyard",,Chabad Library/תולדות_חב״ד_ברוסיה
1834,1,25,Petersburg Senate replies to Khovansky on rabbinic authority,The Governing Senate told provincial authorities to enforce existing 1804 statutes against unregulated rabbinic donations and civil adjudication.,"On 25 January 1834 (27 Shvat 5594), the Governing Senate in Petersburg responded to Governor-General Khovansky's three recommendations on rabbis. The first — that rabbinic pay require provincial approval — was deferred to the comprehensive Jewish statute then in deliberation at the State Council, citing an 1828 prohibition on new Jewish laws until the general code was complete. The second and third — barring extra donations to rabbis and barring them from civil adjudication — were not enacted as new law but issued as administrative directives to enforce Sections 49, 51, and 52 of the 1804 Jewish Constitution.","conflict, general","russia, petersburg, senate, khovansky, rabbis, jewish-law, 1804-statute",,Chabad Library/מאסר_וגאולת_אדמו״ר_האמצעי
1834,1,25,Senate responds to Khovansky on rabbinic appointments,"The Senate replied to Khovansky's recommendations regarding the appointment of rabbis, closing out the long arc of his anti-Chassidic initiatives.","Seven years after the Rebbe's acquittal, the Senate addressed Khovansky's lingering proposals about regulating rabbinic appointments. The Mogilev high court forwarded copies of his recommendations to the Senate in February, and Khovansky relayed the response to the Mogilev provincial government. The exchange marks a final administrative coda to the policy program Kissin's denunciations had originally tried to advance.","organization, conflict","senate, khovansky, rabbinate, russia",,Chabad Library/מאסר_וגאולת_אדמו״ר_האמצעי
1834,2,15,Mohilev High Court relays Senate recommendations on rabbinic conduct,The Mohilev High Court forwards to Khovansky its 1827 recommendations to the Senate on illegal fundraising by Rabbi DovBer Schneuri and the proper role of rabbis.,"Seven years after Khovansky submitted his original recommendations to the Senate, the Mohilev High Court's criminal division relayed a copy back to him. The document recommended dismissing the Mitteler Rebbe from his rabbinic post since he could not read or write Russian, Polish, or German as required by section 10 of the Jewish statute. It further proposed barring rabbis from organizing fundraising drives and from adjudicating civil disputes between Jews, restricting them to compensation set under provincial supervision.","conflict, organization","mitteler rebbe, russia, senate, rabbinic authority, tsarist law, fundraising ban, mohilev",,Chabad Library/מאסר_וגאולת_אדמו״ר_האמצעי
1834,2,17,Senate ban on rabbinic fundraising and civil arbitration relayed,Khovansky transmits to the Mohilev and Vitebsk governments the Senate's order forbidding rabbis from collecting voluntary donations or adjudicating civil disputes.,"Acting on Khovansky's 1827 recommendation, the Senate had referred the matter to the Minister of the Interior, who cited an 1828 directive forbidding new specific laws about Jews until the general Jewish statute was finalized. Instead, the minister called for strict enforcement of the existing 1804 statute's sections 49, 51, and 52. The Senate adopted this view in late January 1834, instructing Khovansky to notify Jews of Mohilev and Vitebsk that they must not donate to rabbis or use rabbis to settle civil disputes, but instead refer such matters to the established courts.","conflict, organization","russia, senate, rabbinic authority, fundraising ban, civil arbitration, mohilev, vitebsk, khovansky",,Chabad Library/מאסר_וגאולת_אדמו״ר_האמצעי
1834,4,,Birth of Rebbe Maharash in Lubavitch,"Rabbi Shmuel Schneersohn, the fourth Chabad Rebbe (Maharash), was born in Lubavitch on 2 Iyar 5594.","Rabbi Shmuel was the youngest son of the Tzemach Tzedek and would become the only Chabad Rebbe born, living his entire life, and passing away in Lubavitch. His birth on 2 Iyar 5594 (1834) coincides with the day Chasidim later mark as a special date connected to him. He would later succeed his father as the fourth Rebbe of the Chabad-Lubavitch dynasty.",rebbe,"maharash, lubavitch, russia, birth, schneersohn",,Chabad Library/תולדות_חב״ד_ברוסיה
1834,4,,Earthquake in Hebron,"On 16 Iyar 5594 a major earthquake struck Hebron, collapsing many houses in the Jewish courtyard and forcing residents to flee to the fields for a week.","On Sunday 16 Iyar 5594 a great earthquake shook Hebron, collapsing several homes in the Jewish courtyard. The Jews fled their dwellings and stayed for a full week in the fields among armed Arabs - 'like sheep among wolves' - while aftershocks continued every hour. Lesser tremors continued for about four weeks afterward, leaving the community traumatized.",general,"hebron, earthquake, natural disaster, jewish community",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,4,,"Hebron Arab rebellion against Egyptian forces, Jews killed","On 9 Iyar 5594 the Arabs of Hebron and surrounding villages rebelled against the Egyptian commander, killing several Chabad chassidim.","On Sunday 9 Iyar 5594 the Arabs of Hebron and surrounding villages rebelled against the Egyptian deputy commander stationed there. Several Chabad chassidim were killed in the attack, while about 400 others were trapped inside the citadel (kala) for weeks until starvation forced their surrender. The community endured constant threats of being burned alive and was saved only through massive ransom payments demanded by local officials.",conflict,"hebron, rebellion, violence, kollel chabad, jewish casualties",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,4,17,Arab revolt against Egyptian deputy reaches Hebron Jews,"On 9 Iyar the Arabs of the Hebron region rebel against the Egyptian deputy ruler, putting the local Jews in mortal danger.",On Sunday 9 Iyar the Arabs of the Hebron region rebelled against the deputy of the king. For weeks they threatened the Jews of Hebron with cruel and unusual deaths. Only the intervention of certain notables saved the community from immediate harm during this initial period of unrest.,conflict,"hebron, ibrahim pasha, peasants revolt, egyptian rule, arab revolt",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,4,24,Earthquake strikes Hebron,"On 16 Iyar an earthquake collapses walls in Hebron's Jewish quarter, forcing residents to flee to open fields.","On Sunday 16 Iyar an earthquake struck Hebron, collapsing several walls in the Jewish courtyard. Residents abandoned their dwellings and fled, spending seven days and nights in the open fields in great fear. They returned to the city only when the immediate danger passed, awaiting the arrival of Ibrahim Pasha's forces — which would bring far worse violence within weeks.",location,"hebron, earthquake, natural disaster, jewish quarter",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,5,17,Pogroms during the Peasants' Revolt against Hebron's Jewish community,Arab rebels rose against Hebron and threatened the Jewish community with daily violence on 9 Iyar.,"On 9 Iyar 5594 (May 17, 1834), Arabs in Hebron rebelled against the regional ruler, and for many days threatened the Jewish community with cruel deaths. R' Chaim Halevi, the pakid, used his standing with local nobles and significant payments to secure their protection. The pogroms were followed by an earthquake, both of which were described in a fundraising letter signed by the Chabad kollel leaders sent with shadar R' Natan Amram.","conflict, location","hebron, pogrom, peasants revolt, 1834, natan amram, chaim halevi",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,7,,Ibrahim Pasha sacks Hebron - massacre and desecration,"On 28 Tammuz 5594 Ibrahim Pasha's army entered Hebron, conducting a brutal sack with killings, rapes, desecration of Torah scrolls and destruction of homes.","On Monday 28 Tammuz 5594 the deputy commander arrived with his army and conquered Hebron. Despite Jewish hopes, the soldiers were given license to plunder. Homes were burned and ransacked for hidden treasures; oil was spilled and vessels shattered. Many women were violated and Torah scrolls were burned, torn, and spread on the ground with Torah scrolls rolled in blood. Two women, a child by the mikveh, and Sephardic sages were killed.",conflict,"ibrahim pasha, hebron, massacre, rape, torah desecration, egypt, kollel chabad",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
1834,7,,Pogroms and earthquake strike Hebron,"Hebron suffered pogroms and an earthquake in summer 1834, prompting urgent appeals from the Chabad community.","In summer 1834 (קיץ תקצ""ד), pogroms and an earthquake devastated Hebron. The Chabad community wrote desperate letters to their supporters abroad, which the Pekidim u'Amarkalim of Amsterdam later reproduced in printed circulars to encourage greater donations.","location, general","hebron, earthquake, pogroms, chabad kollel, disaster",,Chabad Library/תולדות_חב״ד_בארץ_הקודש
